,Unnamed: 0,formatted_address,Address,latitude,longitude,License_Type,Entity_Name,Trade_Name,Concate
653,105,"4080 Globeville Rd, Denver, CO 80216, USA",4080 N GLOBEVILLE RD DENVER CO,39.7726443,-104.9888583,Med Marijuana Inf Prod Manuf,"PHYSICIAN PREFERRED PRODUCTS, LLC",DOC'S APOTHECARY,"Med Marijuana Inf Prod Manuf-PHYSICIAN PREFERRED PRODUCTS, LLC"
660,106,"Wyandot St, Denver, CO, USA",830 N Wyandot St Denver CO,39.7777652,-105.0146377,Retail Marijuana Inf Prod Mfg,GREENWERKZ LLC,GREEN DRAGON COLORADO,Retail Marijuana Inf Prod Mfg-GREENWERKZ LLC
661,107,"5475 Peoria St, Denver, CO 80239, USA",5475 N Peoria ST Denver CO,39.7952228,-104.8486775,Retail Marijuana Inf Prod Mfg,"WONDERLAND EDIBLES, LTD",WONDERLAND EDIBLES,"Retail Marijuana Inf Prod Mfg-WONDERLAND EDIBLES, LTD"
662,107,"5475 Peoria St, Denver, CO 80239, USA",5475 N Peoria ST Denver CO,39.7952228,-104.8486775,Retail Marijuana Inf Prod Mfg,"COLORADO MEDICAL PROCESSING, LLC",COLORADO BEST DABS,"Retail Marijuana Inf Prod Mfg-COLORADO MEDICAL PROCESSING, LLC"
663,107,"5475 Peoria St, Denver, CO 80239, USA",5475 N Peoria ST Denver CO,39.7952228,-104.8486775,Retail Marij Opt. Prem. Cultiv,505 CENTER LLC,PURE MEDICAL DISPENSARY,Retail Marij Opt. Prem. Cultiv-505 CENTER LLC
665,107,"5475 Peoria St, Denver, CO 80239, USA",5475 N Peoria ST Denver CO,39.7952228,-104.8486775,Retail Marij Opt. Prem. Cultiv,"WONDERLAND EDIBLES, LTD",WONDERLAND EDIBLES,"Retail Marij Opt. Prem. Cultiv-WONDERLAND EDIBLES, LTD"
666,107,"5475 Peoria St, Denver, CO 80239, USA",5475 N Peoria ST Denver CO,39.7952228,-104.8486775,Retail Marijuana Inf Prod Mfg,"PEORIA PARTNERS, LLC",DISTRICT EDIBLES COLORADO,"Retail Marijuana Inf Prod Mfg-PEORIA PARTNERS, LLC"
697,109,"3435 S Yosemite St, Denver, CO 80231, USA",3435 S YOSEMITE ST DENVER CO,39.6547937,-104.8851875,Medical Marijuana Center,"ALTITUDE WELLNESS CENTER, LLC",NATURE'S HERBS AND WELLNESS DTC,"Medical Marijuana Center-ALTITUDE WELLNESS CENTER, LLC"
698,109,"3435 S Yosemite St, Denver, CO 80231, USA",3435 S YOSEMITE ST DENVER CO,39.6547937,-104.8851875,Retail Marijuana Store,ALTITUDE WELLNESS CENTER. LLC,NATURE'S HERBS & WELLENSS DTC,Retail Marijuana Store-ALTITUDE WELLNESS CENTER. LLC
701,111,"4755 Lima St, Denver, CO 80239, USA",4755 N Lima ST Denver CO,39.7832998,-104.8571804,Med Marijuana Opt Prem Cultiv,"DJR COLORADO, LLC",,"Med Marijuana Opt Prem Cultiv-DJR COLORADO, LLC"
702,111,"4755 Lima St, Denver, CO 80239, USA",4755 N Lima ST Denver CO,39.7832998,-104.8571804,Retail Marij Opt. Prem. Cultiv,DJR COLORADO LLC,,Retail Marij Opt. Prem. Cultiv-DJR COLORADO LLC
705,112,"4825 Oakland St, Denver, CO 80239, USA",4825 N OAKLAND ST DENVER CO,39.7847356,-104.8512081,Med Marijuana Opt Prem Cultiv,MAYFLOWER GROUP LLC,THE HEALTH CENTER,Med Marijuana Opt Prem Cultiv-MAYFLOWER GROUP LLC
706,112,"4825 Oakland St, Denver, CO 80239, USA",4825 N OAKLAND ST DENVER CO,39.7847356,-104.8512081,Retail Marij Opt. Prem. Cultiv,"MAYFLOWER GROUP, LLC",THE HEALTH CENTER,"Retail Marij Opt. Prem. Cultiv-MAYFLOWER GROUP, LLC"
709,113,"4414 Vine St, Denver, CO 80216, USA",4414 N VINE ST DENVER CO,39.7780512,-104.9621129,Retail Marij Opt. Prem. Cultiv,CO-AGRONOMICS LLC,THE GREEN DEPOT,Retail Marij Opt. Prem. Cultiv-CO-AGRONOMICS LLC
710,113,"4414 Vine St, Denver, CO 80216, USA",4414 N VINE ST DENVER CO,39.7780512,-104.9621129,Med Marijuana Opt Prem Cultiv,"CO-AGRONOMICS, LLC",THE GREEN DEPOT,"Med Marijuana Opt Prem Cultiv-CO-AGRONOMICS, LLC"
711,113,"4414 Vine St, Denver, CO 80216, USA",4414 N VINE ST DENVER CO,39.7780512,-104.9621129,Medical Marijuana Center,CO-AGRONOMICS LLC,THE GREEN DEPOT,Medical Marijuana Center-CO-AGRONOMICS LLC
718,114,"4773 Fox St, Denver, CO 80216, USA",4773 N FOX ST DENVER CO,39.7832395,-104.9950661,Retail Marij Opt. Prem. Cultiv,FOX STREET WELLNESS LLC,,Retail Marij Opt. Prem. Cultiv-FOX STREET WELLNESS LLC
719,114,"4773 Fox St, Denver, CO 80216, USA",4773 N FOX ST DENVER CO,39.7832395,-104.9950661,Retail Marijuana Inf Prod Mfg,"FOX STREET WELLNESS, LLC",THE PROPER EXTRACTS,"Retail Marijuana Inf Prod Mfg-FOX STREET WELLNESS, LLC"
720,114,"4773 Fox St, Denver, CO 80216, USA",4773 N FOX ST DENVER CO,39.7832395,-104.9950661,Med Marijuana Opt Prem Cultiv,FOX STREET WELLNESS LLC,FOX 5280,Med Marijuana Opt Prem Cultiv-FOX STREET WELLNESS LLC
721,114,"4773 Fox St, Denver, CO 80216, USA",4773 N FOX ST DENVER CO,39.7832395,-104.9950661,Retail Marijuana Store,FOX STREET WELLNESS LLC,FOX CANNABIS,Retail Marijuana Store-FOX STREET WELLNESS LLC
734,115,"3850 E 48th Ave, Denver, CO 80216, USA",3850 E 48TH AVE DENVER CO,39.7832814,-104.9419818,Retail Marijuana Inf Prod Mfg,"J&P INVESTMENTS, LLC",NEWT BROTHERS ARTISANAL,"Retail Marijuana Inf Prod Mfg-J&P INVESTMENTS, LLC"
735,115,"3850 E 48th Ave, Denver, CO 80216, USA",3850 E 48TH AVE DENVER CO,39.7832814,-104.9419818,Med Marijuana Inf Prod Manuf,"J&P INVESTMENTS, LLC",NEWT BROTHERS ARTISANAL,"Med Marijuana Inf Prod Manuf-J&P INVESTMENTS, LLC"
736,115,"3850 E 48th Ave, Denver, CO 80216, USA",3850 E 48TH AVE DENVER CO,39.7832814,-104.9419818,Retail Marij Opt. Prem. Cultiv,"J&P INVESTMENTS, LLC",NEWT BROTHERS ARTISANAL,"Retail Marij Opt. Prem. Cultiv-J&P INVESTMENTS, LLC"
737,115,"3850 E 48th Ave, Denver, CO 80216, USA",3850 E 48TH AVE DENVER CO,39.7832814,-104.9419818,Med Marijuana Opt Prem Cultiv,"J&P INVESTMENTS, LLC",NEWT BROTHERS ARTISANAL,"Med Marijuana Opt Prem Cultiv-J&P INVESTMENTS, LLC"
750,116,"1331 S Broadway, Denver, CO 80210, USA",1331 S BROADWAY  DENVER CO,39.6921675,-104.9877058,Medical Marijuana Center,"LITTLE GREEN PHARMACY, INC",,"Medical Marijuana Center-LITTLE GREEN PHARMACY, INC"
751,117,"985 S Logan St, Denver, CO 80209, USA",985 S LOGAN ST DENVER CO,39.6989641,-104.9837462,Med Marijuana Opt Prem Cultiv,"THE HERBAL CURE, LLC",,"Med Marijuana Opt Prem Cultiv-THE HERBAL CURE, LLC"
752,117,"985 S Logan St, Denver, CO 80209, USA",985 S LOGAN ST DENVER CO,39.6989641,-104.9837462,Retail Marijuana Store,"THE HERBAL CURE, LLC",,"Retail Marijuana Store-THE HERBAL CURE, LLC"
753,117,"985 S Logan St, Denver, CO 80209, USA",985 S LOGAN ST DENVER CO,39.6989641,-104.9837462,Medical Marijuana Center,"THE HERBAL CURE, LLC",,"Medical Marijuana Center-THE HERBAL CURE, LLC"
760,118,"5305 Steele St, Denver, CO 80216, USA",5305  STEELE ST DENVER CO,39.7929663,-104.9501897,Retail Marij Opt. Prem. Cultiv,"ROCKY MOUNTAIN TILLAGE, LLC",,"Retail Marij Opt. Prem. Cultiv-ROCKY MOUNTAIN TILLAGE, LLC"
761,119,"4645 Joliet St, Denver, CO 80239, USA",4645 N JOLIET ST DENVER CO,39.7809934,-104.8617888,Med Marijuana Opt Prem Cultiv,"VIOLA, INC.",VIOLA'S EXTRACTS,"Med Marijuana Opt Prem Cultiv-VIOLA, INC."
762,119,"4645 Joliet St, Denver, CO 80239, USA",4645 N JOLIET ST DENVER CO,39.7809934,-104.8617888,Med Marijuana Inf Prod Manuf,"VIOLA, INC",VIOLA'S EXTRACTS,"Med Marijuana Inf Prod Manuf-VIOLA, INC"
765,120,"1101 S Bannock St, Denver, CO 80223, USA",1101 S BANNOCK ST DENVER CO,39.696425,-104.990459,Med Marijuana Opt Prem Cultiv,"ANIMAS HERBAL WELLNESS CENTER, INC.",PROHIBITION HERB,"Med Marijuana Opt Prem Cultiv-ANIMAS HERBAL WELLNESS CENTER, INC."
766,120,"1101 S Bannock St, Denver, CO 80223, USA",1101 S BANNOCK ST DENVER CO,39.696425,-104.990459,Retail Marij Opt. Prem. Cultiv,ANIMAS HERBAL WELLNESS CENTER INC.,PROHIBITION HERB,Retail Marij Opt. Prem. Cultiv-ANIMAS HERBAL WELLNESS CENTER INC.
769,121,"2057 S Broadway, Denver, CO 80210, USA",2057 S BROADWAY  DENVER CO,39.6793371,-104.9878913,Retail Marijuana Store,E2T2 LLC,DIEGO PELLICER,Retail Marijuana Store-E2T2 LLC
770,121,"2057 S Broadway, Denver, CO 80210, USA",2057 S BROADWAY  DENVER CO,39.6793371,-104.9878913,Medical Marijuana Center,E2T2 LLC,DIEGO PELLICER,Medical Marijuana Center-E2T2 LLC
773,123,"1798 W Mississippi Ave, Denver, CO 80223, USA",1798 W MISSISSIPPI AVE DENVER CO,39.6964176,-105.0083269,Medical Marijuana Center,"GREEN FIELDS, LLC",GREENFIELDS,"Medical Marijuana Center-GREEN FIELDS, LLC"
774,123,"1798 W Mississippi Ave, Denver, CO 80223, USA",1798 W MISSISSIPPI AVE DENVER CO,39.6964176,-105.0083269,Retail Marijuana Store,"GREENFIELDS, LLC",GREENFIELDS,"Retail Marijuana Store-GREENFIELDS, LLC"
777,124,"5395 E 39th Ave, Denver, CO 80207, USA",5395 E 39TH AVE DENVER CO,39.7717684,-104.9251056,Retail Marij Opt. Prem. Cultiv,"SUPER FARM, LLC",SUPER FARM,"Retail Marij Opt. Prem. Cultiv-SUPER FARM, LLC"
778,125,"1770 S Acoma St, Denver, CO 80223, USA",1770 S ACOMA ST DENVER CO,39.6844384,-104.9885554,Med Marijuana Opt Prem Cultiv,"EVERGREEN ENTERPRISES, LTD.",,"Med Marijuana Opt Prem Cultiv-EVERGREEN ENTERPRISES, LTD."
779,125,"1770 S Acoma St, Denver, CO 80223, USA",1770 S ACOMA ST DENVER CO,39.6844384,-104.9885554,Med Marijuana Inf Prod Manuf,"EVERGREEN ENTERPRISES, LTD.",EVERGREEN EXTRACTS,"Med Marijuana Inf Prod Manuf-EVERGREEN ENTERPRISES, LTD."
782,126,"432 S Broadway, Denver, CO 80209, USA",432 S BROADWAY  DENVER CO,39.7087176,-104.9873293,Medical Marijuana Center,BEYOND BROADWAY LLC,LIVWELL,Medical Marijuana Center-BEYOND BROADWAY LLC
783,126,"432 S Broadway, Denver, CO 80209, USA",432 S BROADWAY  DENVER CO,39.7087176,-104.9873293,Med Marijuana Opt Prem Cultiv,"BEYOND BROADWAY, LLC",LIVWELL,"Med Marijuana Opt Prem Cultiv-BEYOND BROADWAY, LLC"
784,126,"432 S Broadway, Denver, CO 80209, USA",432 S BROADWAY  DENVER CO,39.7087176,-104.9873293,Retail Marijuana Store,"BEYOND BROADWAY, LLC",LIVWELL,"Retail Marijuana Store-BEYOND BROADWAY, LLC"
791,128,"4228 York St, Denver, CO 80216, USA",4228 N YORK ST DENVER CO,39.7758136,-104.9584782,Retail Marij Opt. Prem. Cultiv,"CITI-MED, LLC",STARBUDS,"Retail Marij Opt. Prem. Cultiv-CITI-MED, LLC"
792,128,"4228 York St, Denver, CO 80216, USA",4228 N YORK ST DENVER CO,39.7758136,-104.9584782,Med Marijuana Opt Prem Cultiv,"CITI-MED, LLC",STARBUDS,"Med Marijuana Opt Prem Cultiv-CITI-MED, LLC"
793,128,"4228 York St, Denver, CO 80216, USA",4228 N YORK ST DENVER CO,39.7758136,-104.9584782,Retail Marij Opt. Prem. Cultiv,BALLPARK HOLISTIC DISPENSARY CORP,BALLPARK HOLISTIC DISPENSARY,Retail Marij Opt. Prem. Cultiv-BALLPARK HOLISTIC DISPENSARY CORP
794,128,"4228 York St, Denver, CO 80216, USA",4228 N YORK ST DENVER CO,39.7758136,-104.9584782,Med Marijuana Opt Prem Cultiv,BALLPARK HOLISTIC DISPENSARY CORP,BALLPARK HOLISTIC DISPENSARY,Med Marijuana Opt Prem Cultiv-BALLPARK HOLISTIC DISPENSARY CORP
807,129,"5100 Cook St, Denver, CO 80216, USA",5100 N COOK ST DENVER CO,39.7895197,-104.9470078,Med Marijuana Inf Prod Manuf,DENVER PACKAGING COMPANY,,Med Marijuana Inf Prod Manuf-DENVER PACKAGING COMPANY
808,129,"5100 Cook St, Denver, CO 80216, USA",5100 N COOK ST DENVER CO,39.7895197,-104.9470078,Retail Marijuana Inf Prod Mfg,"DENVER PACKAGING, COMPANY",,"Retail Marijuana Inf Prod Mfg-DENVER PACKAGING, COMPANY"
811,131,"750 S Canosa Ct, Denver, CO 80219, USA",750 N CANOSA CT DENVER CO,39.7029246,-105.0188953,Retail Marij Opt. Prem. Cultiv,"ALCC, LLC",THE DAB BY NEXT HARVEST,"Retail Marij Opt. Prem. Cultiv-ALCC, LLC"
812,133,"12585 E 39th Ave, Denver, CO 80239, USA",12585 E 39TH AVE DENVER CO,39.7713831,-104.8415857,Med Marijuana Opt Prem Cultiv,KTA LLC,,Med Marijuana Opt Prem Cultiv-KTA LLC
816,134,"4 S Santa Fe Dr, Denver, CO 80223, USA",4 S SANTA FE DR DENVER CO,39.7164275,-104.9981929,Medical Marijuana Center,KARMACEUTICALS LLC,KARMACEUTICALS,Medical Marijuana Center-KARMACEUTICALS LLC
817,134,"4 S Santa Fe Dr, Denver, CO 80223, USA",4 S SANTA FE DR DENVER CO,39.7164275,-104.9981929,Med Marijuana Opt Prem Cultiv,"KARMACEUTICALS, LLC",KARMACEUTICALS,"Med Marijuana Opt Prem Cultiv-KARMACEUTICALS, LLC"
820,135,"2028 E Colfax Ave, Denver, CO 80206, USA",2028 E COLFAX AVE DENVER CO,39.7398554,-104.9625714,Medical Marijuana Center,"DISCOUNT MEDICAL MARIJUANA, LLC",HIGH LEVEL HEALTH,"Medical Marijuana Center-DISCOUNT MEDICAL MARIJUANA, LLC"
821,135,"2028 E Colfax Ave, Denver, CO 80206, USA",2028 E COLFAX AVE DENVER CO,39.7398554,-104.9625714,Retail Marijuana Store,"DISCOUNT MEDICAL MARIJUANA, LLC",HIGH LEVEL HEALTH,"Retail Marijuana Store-DISCOUNT MEDICAL MARIJUANA, LLC"
824,136,"3819 Quentin St, Denver, CO 80239, USA",3819 N QUENTIN ST DENVER CO,39.7698958,-104.8451427,Med Marijuana Opt Prem Cultiv,LITTLE MAN 54 LLC,,Med Marijuana Opt Prem Cultiv-LITTLE MAN 54 LLC
825,136,"3819 Quentin St, Denver, CO 80239, USA",3819 N QUENTIN ST DENVER CO,39.7698958,-104.8451427,Retail Marij Opt. Prem. Cultiv,LITTLE MAN 54 LLC,,Retail Marij Opt. Prem. Cultiv-LITTLE MAN 54 LLC
826,136,"3819 Quentin St, Denver, CO 80239, USA",3819 N QUENTIN ST DENVER CO,39.7698958,-104.8451427,Medical Marijuana Center,LITTLE MAN 54 LLC,,Medical Marijuana Center-LITTLE MAN 54 LLC
833,137,"3990 Grape St, Denver, CO 80207, USA",3990 N GRAPE ST DENVER CO,39.7728567,-104.9240106,Retail Marij Opt. Prem. Cultiv,GREEN SATIVA LLC,,Retail Marij Opt. Prem. Cultiv-GREEN SATIVA LLC
834,137,"3990 Grape St, Denver, CO 80207, USA",3990 N GRAPE ST DENVER CO,39.7728567,-104.9240106,Med Marijuana Opt Prem Cultiv,GREEN SATIVA LLC,,Med Marijuana Opt Prem Cultiv-GREEN SATIVA LLC
837,139,"2243 N Federal Blvd, Denver, CO 80211, USA",2243 N FEDERAL BLVD DENVER CO,39.7508139,-105.0254462,Medical Marijuana Center,THE PURPLE DRAGON LLC,,Medical Marijuana Center-THE PURPLE DRAGON LLC
838,140,"930 W Byers Pl, Denver, CO 80223, USA",930 W BYERS PL DENVER CO,39.7117465,-104.9982915,Retail Marijuana Store,"CANNABIS KING, LLC",GREEN DRAGON COLORADO,"Retail Marijuana Store-CANNABIS KING, LLC"
839,142,"4500 Jason St, Denver, CO 80211, USA",4500 N JASON ST DENVER CO,39.7784204,-104.9992434,Retail Marij Opt. Prem. Cultiv,BACK TO THE GARDEN HEALTH & WELLNESS CENTER LLC,BACK TO THE GARDEN HEALTH AND WELLNESS CENTER LLC,Retail Marij Opt. Prem. Cultiv-BACK TO THE GARDEN HEALTH & WELLNESS CENTER LLC
840,142,"4500 Jason St, Denver, CO 80211, USA",4500 N JASON ST DENVER CO,39.7784204,-104.9992434,Med Marijuana Opt Prem Cultiv,"HIGH STREET GROWERS, LLC",,"Med Marijuana Opt Prem Cultiv-HIGH STREET GROWERS, LLC"
843,143,"N Bryant St, Denver, CO, USA",660 N BRYANT ST DENVER CO,39.842368,-105.019368,Retail Marijuana Inf Prod Mfg,"GREEN CROSS COLORADO, LLC",GREEN CROSS COLORADO,"Retail Marijuana Inf Prod Mfg-GREEN CROSS COLORADO, LLC"
844,143,"N Bryant St, Denver, CO, USA",660 N BRYANT ST DENVER CO,39.842368,-105.019368,Med Marijuana Inf Prod Manuf,"GREEN CROSS COLORADO, LLC",GREEN CROSS COLORADO,"Med Marijuana Inf Prod Manuf-GREEN CROSS COLORADO, LLC"
847,144,"399 S Harrison St, Denver, CO 80209, USA",399 S HARRISON ST DENVER CO,39.7094332,-104.9416916,Retail Marijuana Store,"SERENITY MOON WELLNESS CENTER, LLC",FROSTED LEAF,"Retail Marijuana Store-SERENITY MOON WELLNESS CENTER, LLC"
848,144,"399 S Harrison St, Denver, CO 80209, USA",399 S HARRISON ST DENVER CO,39.7094332,-104.9416916,Medical Marijuana Center,"ALPINE HERBAL WELLNESS, LLC",FROSTED LEAF,"Medical Marijuana Center-ALPINE HERBAL WELLNESS, LLC"
851,147,"5110 Race St, Denver, CO 80216, USA",5110 N RACE ST DENVER CO,39.7883088,-104.9631169,Medical Marijuana Center,5110 SANCTUARY LLC,EVERBLOOM,Medical Marijuana Center-5110 SANCTUARY LLC
852,147,"5110 Race St, Denver, CO 80216, USA",5110 N RACE ST DENVER CO,39.7883088,-104.9631169,Retail Marijuana Store,"5110 SANCTUARY, LLC",EVERBLOOM,"Retail Marijuana Store-5110 SANCTUARY, LLC"
853,147,"5110 Race St, Denver, CO 80216, USA",5110 N RACE ST DENVER CO,39.7883088,-104.9631169,Med Marijuana Opt Prem Cultiv,5110 SANCTUARY LLC,EVERBLOOM,Med Marijuana Opt Prem Cultiv-5110 SANCTUARY LLC
860,148,"1350 S Sheridan Blvd, Denver, CO 80232, USA",1350 S SHERIDAN BLVD DENVER CO,39.6919117,-105.0527734,Retail Marijuana Store,"MILE HIGH DISPENSARY, LLC",MILE HIGH DISPENSARY,"Retail Marijuana Store-MILE HIGH DISPENSARY, LLC"
861,148,"1350 S Sheridan Blvd, Denver, CO 80232, USA",1350 S SHERIDAN BLVD DENVER CO,39.6919117,-105.0527734,Medical Marijuana Center,"MILE HIGH DISPENSARY, LLC",MILE HIGH DISPENSARY,"Medical Marijuana Center-MILE HIGH DISPENSARY, LLC"
864,149,"4502 N Washington St, Denver, CO 80205, USA",4502 N Washington  Denver CO,39.7543922,-104.9779073,Med Marijuana Inf Prod Manuf,"CC FOODS, LLC",,"Med Marijuana Inf Prod Manuf-CC FOODS, LLC"
865,149,"4502 N Washington St, Denver, CO 80205, USA",4502 N Washington  Denver CO,39.7543922,-104.9779073,Retail Marijuana Inf Prod Mfg,"CC FOODS, LLC",,"Retail Marijuana Inf Prod Mfg-CC FOODS, LLC"
869,151,"4501 Wynkoop St, Denver, CO 80216, USA",4501  WYNKOOP ST DENVER CO,39.7786243,-104.9668416,Med Marijuana Opt Prem Cultiv,"TWOG-YORK, LLC",BUDDY BOY,"Med Marijuana Opt Prem Cultiv-TWOG-YORK, LLC"
870,152,"2252 S Kalamath St, Denver, CO 80223, USA",2252 S KALAMATH ST DENVER CO,39.6756646,-105.0002699,Retail Marij Opt. Prem. Cultiv,RR SERVICES LLC,,Retail Marij Opt. Prem. Cultiv-RR SERVICES LLC
871,152,"2252 S Kalamath St, Denver, CO 80223, USA",2252 S KALAMATH ST DENVER CO,39.6756646,-105.0002699,Med Marijuana Opt Prem Cultiv,MILE HIGH DISPENSARY LLC,,Med Marijuana Opt Prem Cultiv-MILE HIGH DISPENSARY LLC
874,153,"4675 Kingston St, Denver, CO 80239, USA",4675 N Kingston ST Denver CO,39.781594,-104.8595996,Retail Marij Opt. Prem. Cultiv,"ORGANIC GREENS, INC",NATURAL REMEDIES,"Retail Marij Opt. Prem. Cultiv-ORGANIC GREENS, INC"
875,154,"330 Federal Blvd, Denver, CO 80219, USA",330 N FEDERAL BLVD DENVER CO,39.721782,-105.0248074,Retail Marijuana Store,HIGH STREET GROWERS LLC,,Retail Marijuana Store-HIGH STREET GROWERS LLC
876,154,"330 Federal Blvd, Denver, CO 80219, USA",330 N FEDERAL BLVD DENVER CO,39.721782,-105.0248074,Medical Marijuana Center,"HIGH STREET GROWERS, LLC.",,"Medical Marijuana Center-HIGH STREET GROWERS, LLC."
879,156,"3880 Holly St, Denver, CO 80207, USA",3880 N Holly ST Denver CO,39.7705814,-104.9215468,Retail Marij Opt. Prem. Cultiv,"WDG, INC.",BEMINDFUL,"Retail Marij Opt. Prem. Cultiv-WDG, INC."
881,157,"3857 Elm St, Denver, CO 80207, USA",3857 N ELM ST DENVER CO,39.7704224,-104.9295266,Retail Marij Opt. Prem. Cultiv,LEVELS IV INC,LEVELS IV INC,Retail Marij Opt. Prem. Cultiv-LEVELS IV INC
884,158,"3980 Franklin St, Denver, CO 80205, USA",3980 N Franklin  Denver CO,39.7726375,-104.9680612,Retail Marijuana Inf Prod Mfg,"LUCKY SWEETS, LLC",LUCKY EDIBLES,"Retail Marijuana Inf Prod Mfg-LUCKY SWEETS, LLC"
885,158,"3980 Franklin St, Denver, CO 80205, USA",3980 N Franklin  Denver CO,39.7726375,-104.9680612,Med Marijuana Inf Prod Manuf,"LUCKY SWEETS, LLC",LUCKY EDIBLES,"Med Marijuana Inf Prod Manuf-LUCKY SWEETS, LLC"
888,159,"4880 E 41st Ave, Denver, CO 80216, USA",4880 E 41ST AVE DENVER CO,39.7744096,-104.9310828,Retail Marijuana Inf Prod Mfg,"EPMM COLORADO, LLC",EDIPURE,"Retail Marijuana Inf Prod Mfg-EPMM COLORADO, LLC"
889,159,"4880 E 41st Ave, Denver, CO 80216, USA",4880 E 41ST AVE DENVER CO,39.7744096,-104.9310828,Med Marijuana Inf Prod Manuf,"EPMM COLORADO, LLC",EDIPURE,"Med Marijuana Inf Prod Manuf-EPMM COLORADO, LLC"
892,162,"2190 S Jason St, Denver, CO 80223, USA",2190 S JASON ST DENVER CO,39.6768217,-104.9992656,Retail Marijuana Inf Prod Mfg,"WPJJ, LLC",EUREKA VAPOR,"Retail Marijuana Inf Prod Mfg-WPJJ, LLC"
893,162,"2190 S Jason St, Denver, CO 80223, USA",2190 S JASON ST DENVER CO,39.6768217,-104.9992656,Med Marijuana Inf Prod Manuf,WPJJ LLC,EUREKA VAPOR,Med Marijuana Inf Prod Manuf-WPJJ LLC
896,163,"11080 E 47th Ave, Denver, CO 80239, USA",11080 E 47th Ave Denver CO,39.7820957,-104.8596417,Retail Marijuana Store,LYONS FINEST CONFIDENTIAL CARE LLC,TUMBLEWEED,Retail Marijuana Store-LYONS FINEST CONFIDENTIAL CARE LLC
897,165,"1133 Bannock St, Denver, CO 80204, USA",1133  BANNOCK ST DENVER CO,39.7344405,-104.9906157,Retail Marijuana Store,COLORADO CANNABIS COMPANY LLC,PURE MEDICAL DISPENSARY,Retail Marijuana Store-COLORADO CANNABIS COMPANY LLC
898,166,"5098 Paris St, Denver, CO 80239, USA",5098 N PARIS ST DENVER CO,39.7906368,-104.8485174,Med Marijuana Opt Prem Cultiv,"4625 EAST COLFAX, LLC",THE CLINIC ON COLFAX,"Med Marijuana Opt Prem Cultiv-4625 EAST COLFAX, LLC"
899,166,"5098 Paris St, Denver, CO 80239, USA",5098 N PARIS ST DENVER CO,39.7906368,-104.8485174,Retail Marijuana Inf Prod Mfg,"ZUNI WELLNESS CENTER, LLC",THE LAB,"Retail Marijuana Inf Prod Mfg-ZUNI WELLNESS CENTER, LLC"
900,166,"5098 Paris St, Denver, CO 80239, USA",5098 N PARIS ST DENVER CO,39.7906368,-104.8485174,Med Marijuana Inf Prod Manuf,"ZUNI WELLNESS CENTER, LLC",THE LAB,"Med Marijuana Inf Prod Manuf-ZUNI WELLNESS CENTER, LLC"
907,167,"5200 E Smith Rd, Denver, CO 80239, USA",5200 E SMITH RD Denver CO,39.7693259,-104.8766681,Med Marijuana Opt Prem Cultiv,"RME GROUP, LLC",AFFINITY,"Med Marijuana Opt Prem Cultiv-RME GROUP, LLC"
908,168,"400 S Lipan St, Denver, CO 80223, USA",400 S LIPAN ST DENVER CO,39.7093349,-105.0010459,Retail Marijuana Inf Prod Mfg,MOUNTAIN HIGH SUCKERS LLC,MOUNTAIN HIGH SUCKERS,Retail Marijuana Inf Prod Mfg-MOUNTAIN HIGH SUCKERS LLC
909,168,"400 S Lipan St, Denver, CO 80223, USA",400 S LIPAN ST DENVER CO,39.7093349,-105.0010459,Retail Marij Opt. Prem. Cultiv,1 STOP SHOP LLC,,Retail Marij Opt. Prem. Cultiv-1 STOP SHOP LLC
910,168,"400 S Lipan St, Denver, CO 80223, USA",400 S LIPAN ST DENVER CO,39.7093349,-105.0010459,Retail Marij Opt. Prem. Cultiv,"1 STOP SHOP, LLC",,"Retail Marij Opt. Prem. Cultiv-1 STOP SHOP, LLC"
911,168,"400 S Lipan St, Denver, CO 80223, USA",400 S LIPAN ST DENVER CO,39.7093349,-105.0010459,Med Marijuana Inf Prod Manuf,"MOUNTAIN HIGH SUCKERS, LLC",MOUNTAIN HIGH SUCKERS,"Med Marijuana Inf Prod Manuf-MOUNTAIN HIGH SUCKERS, LLC"
912,168,"400 S Lipan St, Denver, CO 80223, USA",400 S LIPAN ST DENVER CO,39.7093349,-105.0010459,Med Marijuana Opt Prem Cultiv,"UNIQUEITMINDS, INC.",CHRONORADO,"Med Marijuana Opt Prem Cultiv-UNIQUEITMINDS, INC."
933,169,"4910 Fox St, Denver, CO 80216, USA",4910 N FOX ST DENVER CO,39.7854475,-104.9932403,Retail Marijuana Test Facility,"BONA FIDES LABORATORY, INC",,"Retail Marijuana Test Facility-BONA FIDES LABORATORY, INC"
934,169,"4910 Fox St, Denver, CO 80216, USA",4910 N FOX ST DENVER CO,39.7854475,-104.9932403,Med Marijuana Test Facility,BONA FIDES MEDICAL,BONA FIDES LABORATORY INC,Med Marijuana Test Facility-BONA FIDES MEDICAL
937,170,"1178 S Kalamath St, Denver, CO 80223, USA",1178 S KALAMATH ST DENVER CO,39.6952492,-104.999996,Medical Marijuana Center,"HIGH COUNTRY SUPPLY, LLC",COLORADO HARVEST COMPANY,"Medical Marijuana Center-HIGH COUNTRY SUPPLY, LLC"
